5 min - 100 users - initial (200 Order placements / min)
17:17:23:4090 queued=304, executed=262, deposits=710, withdrawals=606, placements=617
17:17:23:4170 queued=304, executed=306, deposits=742, withdrawals=606, placements=641
17:17:23:4190 queued=304, executed=315, deposits=758, withdrawals=606, placements=716
17:17:23:4250 queued=304, executed=315, deposits=788, withdrawals=608, placements=784
17:17:23:4590 queued=304, executed=315, deposits=832, withdrawals=621, placements=827
17:17:23:4880 queued=326, executed=328, deposits=846, withdrawals=658, placements=841
17:17:23:5040 queued=368, executed=345, deposits=847, withdrawals=698, placements=841
17:17:23:5240 queued=387, executed=357, deposits=865, withdrawals=730, placements=860
17:17:23:5440 queued=408, executed=373, deposits=878, withdrawals=768, placements=872
17:17:23:5610 queued=430, executed=388, deposits=892, withdrawals=803, placements=886
17:17:23:5810 queued=445, executed=405, deposits=911, withdrawals=833, placements=905
17:17:23:5960 queued=457, executed=417, deposits=937, withdrawals=857, placements=931
17:17:23:6110 queued=469, executed=437, deposits=957, withdrawals=889, placements=947
17:17:23:6240 queued=481, executed=449, deposits=984, withdrawals=911, placements=974
17:17:23:6350 queued=498, executed=457, deposits=1009, withdrawals=936, placements=999
17:17:23:6500 queued=520, executed=463, deposits=1032, withdrawals=964, placements=1020
17:17:23:6650 queued=540, executed=472, deposits=1052, withdrawals=994, placements=1041
17:17:23:6820 queued=557, executed=479, deposits=1077, withdrawals=1020, placements=1066
17:17:23:7000 queued=574, executed=489, deposits=1103, withdrawals=1044, placements=1089
17:17:23:7300 queued=586, executed=502, deposits=1129, withdrawals=1071, placements=1111
17:17:23:7510 queued=599, executed=512, deposits=1159, withdrawals=1092, placements=1137
17:17:23:8000 queued=607, executed=525, deposits=1187, withdrawals=1119, placements=1161
17:17:23:8110 queued=621, executed=538, deposits=1215, withdrawals=1141, placements=1184
17:17:23:8220 queued=633, executed=553, deposits=1240, withdrawals=1169, placements=1204
17:17:23:8350 queued=648, executed=563, deposits=1266, withdrawals=1194, placements=1228
17:17:23:8470 queued=665, executed=573, deposits=1293, withdrawals=1220, placements=1248
17:17:23:8590 queued=679, executed=583, deposits=1325, withdrawals=1243, placements=1269
17:17:23:8720 queued=689, executed=597, deposits=1354, withdrawals=1270, placements=1289
17:17:23:8940 queued=700, executed=608, deposits=1391, withdrawals=1289, placements=1311
17:17:23:9080 queued=714, executed=618, deposits=1425, withdrawals=1314, placements=1328
17:17:23:9160 queued=725, executed=630, deposits=1460, withdrawals=1341, placements=1343

less logging 100.000 orders / 51 sec => 2000 orders / sec !!!
10:12:30:2470 queued=928, executed=927, deposits=3330, withdrawals=2002, placements=2812
10:12:31:6860 queued=2003, executed=2003, deposits=6002, withdrawals=4302, placements=5689
10:12:33:1070 queued=3291, executed=3291, deposits=8306, withdrawals=7101, placements=8010
10:12:34:4400 queued=4606, executed=4606, deposits=10714, withdrawals=9738, placements=10335
10:12:35:7520 queued=5925, executed=5925, deposits=13334, withdrawals=12012, placements=12803
10:12:37:0490 queued=7008, executed=7008, deposits=16012, withdrawals=14312, placements=15659
10:12:38:3760 queued=8285, executed=8284, deposits=18316, withdrawals=17094, placements=18020
10:12:39:6460 queued=9609, executed=9609, deposits=20717, withdrawals=19732, placements=20332
10:12:40:9430 queued=10925, executed=10924, deposits=23330, withdrawals=22022, placements=22798
10:12:42:2270 queued=12013, executed=12013, deposits=26022, withdrawals=24322, placements=25629
10:12:43:5800 queued=13286, executed=13286, deposits=28315, withdrawals=27082, placements=28030
10:12:44:8450 queued=14614, executed=14613, deposits=30712, withdrawals=29732, placements=30328
10:12:46:1190 queued=15923, executed=15923, deposits=33325, withdrawals=32032, placements=32796
10:12:47:9110 queued=17018, executed=17018, deposits=36032, withdrawals=34318, placements=35613
10:12:49:2220 queued=18282, executed=18282, deposits=38316, withdrawals=37081, placements=38038
10:12:50:4680 queued=19614, executed=19614, deposits=40708, withdrawals=39725, placements=40338
10:12:51:7780 queued=20919, executed=20919, deposits=43320, withdrawals=42042, placements=42799
10:12:53:0970 queued=22022, executed=22022, deposits=46042, withdrawals=44317, placements=45596
10:12:54:4350 queued=23287, executed=23287, deposits=48314, withdrawals=47063, placements=48048
10:12:55:6920 queued=24616, executed=24616, deposits=50701, withdrawals=49718, placements=50348
10:12:56:9360 queued=25918, executed=25917, deposits=53318, withdrawals=52052, placements=52794
10:12:58:2030 queued=27027, executed=27027, deposits=56040, withdrawals=54313, placements=55592
10:12:59:5220 queued=28289, executed=28289, deposits=58305, withdrawals=57058, placements=58058
10:13:00:7650 queued=29614, executed=29614, deposits=60700, withdrawals=59713, placements=60358
10:13:02:0300 queued=30914, executed=30914, deposits=63310, withdrawals=62062, placements=62799
10:13:03:3280 queued=32032, executed=32032, deposits=66040, withdrawals=64316, placements=65579
10:13:04:6520 queued=33291, executed=33290, deposits=68302, withdrawals=67048, placements=68068
10:13:05:9130 queued=34613, executed=34613, deposits=70696, withdrawals=69709, placements=70368
10:13:07:1600 queued=35913, executed=35912, deposits=73312, withdrawals=72072, placements=72790
10:13:08:4960 queued=37037, executed=37037, deposits=76038, withdrawals=74314, placements=75573
10:13:09:8230 queued=38287, executed=38287, deposits=78304, withdrawals=77043, placements=78078
10:13:11:0780 queued=39608, executed=39608, deposits=80701, withdrawals=79704, placements=80378
10:13:12:3320 queued=40909, executed=40909, deposits=83303, withdrawals=82078, placements=82800
10:13:13:6200 queued=42042, executed=42042, deposits=86041, withdrawals=84316, placements=85558
10:13:14:9620 queued=43287, executed=43286, deposits=88306, withdrawals=87032, placements=88088
10:13:16:2390 queued=44597, executed=44596, deposits=90706, withdrawals=89712, placements=90388
10:13:17:4920 queued=45908, executed=45908, deposits=93299, withdrawals=92088, placements=92796
10:13:18:8690 queued=47047, executed=47047, deposits=96025, withdrawals=94312, placements=95568
10:13:20:3200 queued=48289, executed=48289, deposits=98309, withdrawals=97014, placements=98098
10:13:21:6820 queued=49598, executed=49598, deposits=100688, withdrawals=99717, placements=100398


Fake Event Store (13.000 Orders / sec)
10:12:05:0810 queued=98748, executed=98746, deposits=197512, withdrawals=197495, placements=197498
10:12:05:2570 queued=99998, executed=99997, deposits=200012, withdrawals=199996, placements=199996
10:12:05:4330 queued=101248, executed=101245, deposits=202502, withdrawals=202502, placements=202502
10:12:05:6150 queued=102500, executed=102499, deposits=205000, withdrawals=205000, placements=205000
10:12:05:8090 queued=103748, executed=103748, deposits=207511, withdrawals=207496, placements=207496
10:12:06:0050 queued=104999, executed=104999, deposits=210005, withdrawals=209998, placements=209998
10:12:06:1840 queued=106249, executed=106249, deposits=212505, withdrawals=212498, placements=212498
10:12:06:3860 queued=107498, executed=107496, deposits=215008, withdrawals=214994, placements=215003
10:12:06:5880 queued=108743, executed=108743, deposits=217506, withdrawals=217501, placements=217506
10:12:06:7620 queued=109993, executed=109993, deposits=220006, withdrawals=220001, placements=220006
10:12:06:9780 queued=111244, executed=111244, deposits=222508, withdrawals=222495, placements=222508
10:12:07:1610 queued=112496, executed=112496, deposits=225012, withdrawals=224992, placements=225003
10:12:07:4380 queued=113743, executed=113743, deposits=227506, withdrawals=227501, placements=227506
10:12:07:6200 queued=114994, executed=114994, deposits=230008, withdrawals=229995, placements=230008
10:12:07:7930 queued=116249, executed=116244, deposits=232502, withdrawals=232502, placements=232502
10:12:08:0290 queued=117496, executed=117496, deposits=235012, withdrawals=234992, placements=235003
10:12:08:2120 queued=118749, executed=118746, deposits=237502, withdrawals=237500, placements=237502
10:12:08:4130 queued=119997, executed=119997, deposits=240014, withdrawals=239994, placements=239997
10:12:08:5950 queued=121247, executed=121247, deposits=242514, withdrawals=242494, placements=242497
10:12:08:7750 queued=122496, executed=122493, deposits=245004, withdrawals=245002, placements=245004
10:12:08:9560 queued=123746, executed=123746, deposits=247512, withdrawals=247492, placements=247503
10:12:09:1380 queued=124995, executed=124995, deposits=250010, withdrawals=249990, placements=250009
10:12:09:3380 queued=126247, executed=126247, deposits=252514, withdrawals=252494, placements=252497
10:12:09:5140 queued=127497, executed=127497, deposits=255014, withdrawals=254994, placements=254997
10:12:09:6910 queued=128744, executed=128744, deposits=257508, withdrawals=257495, placements=257508
10:12:09:8700 queued=129994, executed=129994, deposits=260004, withdrawals=260003, placements=260004
10:12:10:0490 queued=131244, executed=131243, deposits=262504, withdrawals=262504, placements=262504
10:12:10:2360 queued=132499, executed=132499, deposits=265005, withdrawals=264998, placements=264998
10:12:10:4130 queued=133749, executed=133749, deposits=267505, withdrawals=267498, placements=267498
10:12:10:6050 queued=135000, executed=134999, deposits=270000, withdrawals=270000, placements=270000
10:12:10:7840 queued=136249, executed=136249, deposits=272505, withdrawals=272498, placements=272498
10:12:10:9630 queued=137494, executed=137493, deposits=275004, withdrawals=275004, placements=275004
10:12:11:1400 queued=138744, executed=138743, deposits=277504, withdrawals=277504, placements=277504
10:12:11:3210 queued=139998, executed=139995, deposits=280002, withdrawals=280002, placements=280002
10:12:11:4970 queued=141246, executed=141246, deposits=282512, withdrawals=282492, placements=282503
10:12:11:6740 queued=142497, executed=142497, deposits=285014, withdrawals=284994, placements=284997
10:12:11:8930 queued=143745, executed=143745, deposits=287510, withdrawals=287490, placements=287509
10:12:12:0890 queued=144994, executed=144994, deposits=290008, withdrawals=289995, placements=290008
10:12:12:2670 queued=146246, executed=146246, deposits=292512, withdrawals=292492, placements=292503
10:12:12:4450 queued=147496, executed=147496, deposits=295012, withdrawals=294992, placements=295003
10:12:12:6210 queued=148744, executed=148744, deposits=297508, withdrawals=297495, placements=297508
10:12:12:7970 queued=149998, executed=149998, deposits=300011, withdrawals=299996, placements=299996
10:12:12:9770 queued=151250, executed=151248, deposits=302501, withdrawals=302500, placements=302500
10:12:13:1600 queued=152495, executed=152495, deposits=305010, withdrawals=304990, placements=305009
10:12:13:3400 queued=153745, executed=153745, deposits=307510, withdrawals=307490, placements=307509
10:12:13:5330 queued=155000, executed=154998, deposits=310001, withdrawals=310000, placements=310000
10:12:13:7080 queued=156244, executed=156244, deposits=312508, withdrawals=312495, placements=312508
10:12:13:9340 queued=157495, executed=157492, deposits=315004, withdrawals=315004, placements=315004
10:12:14:1220 queued=158744, executed=158744, deposits=317508, withdrawals=317495, placements=317508
10:12:14:3450 queued=159994, executed=159994, deposits=320008, withdrawals=319995, placements=320008
10:12:14:5280 queued=161246, executed=161246, deposits=322512, withdrawals=322492, placements=322503
10:12:14:7220 queued=162493, executed=162493, deposits=325006, withdrawals=325001, placements=325006
10:12:14:8980 queued=163744, executed=163744, deposits=327508, withdrawals=327495, placements=327508
10:12:15:0930 queued=164997, executed=164997, deposits=330014, withdrawals=329994, placements=329997
10:12:15:2710 queued=166250, executed=166249, deposits=332500, withdrawals=332500, placements=332500
10:12:15:4450 queued=167497, executed=167497, deposits=335014, withdrawals=334994, placements=334997
10:12:15:6200 queued=168744, executed=168744, deposits=337508, withdrawals=337495, placements=337508
10:12:15:7980 queued=170000, executed=169999, deposits=340000, withdrawals=340000, placements=340000
10:12:15:9870 queued=171250, executed=171249, deposits=342500, withdrawals=342500, placements=342500
10:12:16:1800 queued=172498, executed=172498, deposits=345011, withdrawals=344996, placements=344996
10:12:16:3590 queued=173749, executed=173748, deposits=347506, withdrawals=347498, placements=347498
10:12:16:5360 queued=174995, executed=174992, deposits=350004, withdrawals=350004, placements=350004
10:12:16:7200 queued=176248, executed=176245, deposits=352502, withdrawals=352502, placements=352502
10:12:16:8950 queued=177499, executed=177499, deposits=355005, withdrawals=354998, placements=354998
10:12:17:0750 queued=178749, executed=178749, deposits=357505, withdrawals=357498, placements=357498
10:12:17:2530 queued=179995, executed=179992, deposits=360004, withdrawals=360004, placements=360004
10:12:17:4290 queued=181246, executed=181245, deposits=362510, withdrawals=362492, placements=362506
10:12:17:6290 queued=182496, executed=182496, deposits=365012, withdrawals=364992, placements=365003
10:12:17:8100 queued=183748, executed=183748, deposits=367511, withdrawals=367496, placements=367496
10:12:18:0000 queued=184993, executed=184993, deposits=370006, withdrawals=370001, placements=370006
10:12:18:1810 queued=186245, executed=186245, deposits=372510, withdrawals=372490, placements=372509
10:12:18:3880 queued=187497, executed=187496, deposits=375002, withdrawals=375002, placements=375002
10:12:18:5630 queued=188747, executed=188746, deposits=377502, withdrawals=377502, placements=377502
10:12:18:7380 queued=189995, executed=189992, deposits=380004, withdrawals=380004, placements=380004
10:12:18:9120 queued=191249, executed=191249, deposits=382505, withdrawals=382498, placements=382498
10:12:19:0890 queued=192494, executed=192493, deposits=385004, withdrawals=385004, placements=385004
10:12:19:2800 queued=193750, executed=193749, deposits=387500, withdrawals=387500, placements=387500
10:12:19:4580 queued=194994, executed=194994, deposits=390008, withdrawals=389995, placements=390008
10:12:19:6420 queued=196249, executed=196249, deposits=392505, withdrawals=392498, placements=392498
10:12:19:8540 queued=197496, executed=197496, deposits=395012, withdrawals=394992, placements=395003
10:12:20:0310 queued=198744, executed=198744, deposits=397508, withdrawals=397495, placements=397508
10:12:20:2420 queued=199995, executed=199995, deposits=400010, withdrawals=399990, placements=400009
